"","Year","Location","Genotype","Amylose","Crude.Fiber"
"350","2022","Otobi","NR17C2aF79P016",17.274,2.33
"351","2022","Otobi","NR17C2aF7P007",23.254,1.67
"352","2022","Otobi","NR17C2aF7P008",22.318,1.66
"353","2022","Otobi","NR17C2aF7P011",15.251,1.67
"354","2022","Otobi","NR17C2aF7P013",14.707,1.66
"355","2022","Otobi","NR17C2aF7P017",16.731,2
"356","2022","Otobi","NR17C2aF7P018",19.026,1.66
"357","2022","Otobi","NR17C2aF7P023",NA,2
"358","2022","Otobi","NR17C2aF7P030",20.868,1.99
"359","2022","Otobi","NR17C2aF7P034",12.744,1.99
"360","2022","Otobi","NR17C2aF7P036",16.58,2
"361","2022","Otobi","NR17C2aF7P044",17.003,3
"362","2022","Otobi","NR17C2aF7P045",13.62,1.99
"363","2022","Otobi","NR17C2aF7P050",14.073,2
"364","2022","Otobi","NR17C2aF7P052",18.09,1.67
"365","2022","Otobi","NR17C2aF7P058",17.546,3.33
"366","2022","Otobi","NR17C2aF7P062",12.473,3.33
"367","2022","Otobi","NR17C2aF7P065",16.731,2.67
"368","2022","Otobi","NR17C2aF7P067",18.452,1.66
"369","2022","Otobi","NR17C2aF7P070",14.858,2
"370","2022","Otobi","NR17C2aF81P002",17.214,3.32
"371","2022","Otobi","NR17C2aF81P003",19.056,2.67
"372","2022","Otobi","NR17C2aF82P002",18.362,2.33
"373","2022","Otobi","NR17C2aF82P008",17.184,2
"374","2022","Otobi","NR17C2aF83P010",22.469,2
"375","2022","Otobi","NR17C2aF83P018",14.949,2.33
"376","2022","Otobi","NR17C2aF84P004",18.603,1.67
"377","2022","Otobi","NR17C2aF87P010",20.898,1.67
"378","2022","Otobi","NR17C2aF87P011",16.459,2.66
"379","2022","Otobi","NR17C2aF89P002",14.979,2.67
"380","2022","Otobi","NR17C2aF89P003",13.862,1.33
"381","2022","Otobi","NR17C2aF89P008",19.479,2.67
"382","2022","Otobi","NR17C2aF89P009",17.546,2
"383","2022","Otobi","NR17C2aF89P010",15.644,2.66
"384","2022","Otobi","NR17C2aF89P013",18.331,3.65
"385","2022","Otobi","NR17C2aF89P014",18.271,1.99
"386","2022","Otobi","NR17C2aF89P018",16.61,1.66
"387","2022","Otobi","NR17C2aF89P020",15.342,2.33
"388","2022","Otobi","NR17C2aF89P021",16.489,2
"389","2022","Otobi","NR17C2aF89P028",17.365,1.67
"390","2022","Otobi","NR17C2aF89P041",20.929,2.33
"391","2022","Otobi","NR17C2aF89P045",13.228,2.66
"392","2022","Otobi","NR17C2aF89P050",12.805,2.33
"393","2022","Otobi","NR17C2aF89P054",15.523,4.65
"394","2022","Otobi","NR17C2aF89P058",18.452,1.66
"395","2022","Otobi","NR17C2aF89P067",17.033,2
"396","2022","Otobi","NR17C2aF89P069",NA,1.99
"397","2022","Otobi","NR17C2aF89P071",21.835,2.33
"398","2022","Otobi","NR17C2aF89P088",22.016,2.33
"399","2022","Otobi","NR17C2aF89P091",16.368,2.67
"400","2022","Otobi","NR17C2aF89P096",10.57,2.67
"401","2022","Otobi","NR17C2aF89P102",17.063,1.67
"402","2022","Otobi","NR17C2aF90P007",16.791,2.67
"403","2022","Otobi","NR17C2aF91P001",15.764,1.33
"404","2022","Otobi","NR17C2aF91P004",19.147,2.66
"405","2022","Otobi","NR17C2aF91P006",16.67,2
"406","2022","Otobi","NR17C2aF91P011",12.322,2
"407","2022","Otobi","NR17C2aF92P001",21.714,2
"408","2022","Otobi","NR17C2aF92P002",23.556,2.33
"409","2022","Otobi","NR17C2aF92P003",11.325,2.33
"410","2022","Otobi","NR17C2aF92P005",14.466,3.33
"411","2022","Otobi","NR17C2aF93P009",20.627,2.67
"412","2022","Otobi","NR17C2aF93P010",19.328,3
"413","2022","Otobi","NR17C2aF94P013",21.684,2.33
"414","2022","Otobi","NR17C2aF95P003",19.6,2.33
"415","2022","Otobi","NR17C2aF95P009",14.798,2
"416","2022","Otobi","NR17C2aF95P011",16.036,1.66
"417","2022","Otobi","NR17C2aF95P015",18.633,2.66
"418","2022","Otobi","NR17C2aF95P021",14.315,2.33
"419","2022","Otobi","NR17C2aF96P004",19.358,2
"420","2022","Otobi","NR17C2aF97P002",14.647,2.67
"421","2022","Otobi","NR17C2aF98P001",17.848,2.33
"422","2022","Otobi","NR17C2aF99P002",19.207,2
"423","2022","Otobi","NR17C2aF9P010",12.82,31.67
"424","2022","Otobi","NR17C2aF9P013",14.768,1.66
"425","2022","Otobi","NR8082",21.291,2
"426","2022","Otobi","TMEB419",20.174,2
"427","2022","Otobi","TMEB7",16.58,2.33
"428","2021","Umudike","NR17C2aF103P001",21.412,1.333
"429","2021","Umudike","NR17C2aF10P001",23.194,1.667
"430","2021","Umudike","NR17C2aF10P002",16.731,1.167
"431","2021","Umudike","NR17C2aF10P006",23.828,1.067
"432","2021","Umudike","NR17C2aF10P011",26.999,0.367
"433","2021","Umudike","NR17C2aF10P016",23.677,1.3335
"434","2021","Umudike","NR17C2aF10P021",24.764,1.767
"435","2021","Umudike","NR17C2aF10P025",8.758,1.367
"436","2021","Umudike","NR17C2aF114P002",22.046,1.633
"437","2021","Umudike","NR17C2aF114P004",25.428,1.667
"438","2021","Umudike","NR17C2aF118P001",32.374,1.9
"439","2021","Umudike","NR17C2aF121P005",21.321,2
"440","2021","Umudike","NR17C2aF12P001",13.107,2.567
"441","2021","Umudike","NR17C2aF13P001",12.654,1.433
"442","2021","Umudike","NR17C2aF14P016",28.901,1.367
"443","2021","Umudike","NR17C2aF15P003",21.019,2.3
"444","2021","Umudike","NR17C2aF15P011",36.391,1.667
"445","2021","Umudike","NR17C2aF15P016",22.559,1.667
"446","2021","Umudike","NR17C2aF15P022",23.918,2.3835
"447","2021","Umudike","NR17C2aF15P041",16.942,2.833
"448","2021","Umudike","NR17C2aF16P003",14.889,2.933
"449","2021","Umudike","NR17C2aF16P010",20.596,1.6
"450","2021","Umudike","NR17C2aF18P008",17.456,2.4
"451","2021","Umudike","NR17C2aF18P018",NA,1.767
"452","2021","Umudike","NR17C2aF19P002",39.471,3.333
"453","2021","Umudike","NR17C2aF1P003",40.075,2.567
"454","2021","Umudike","NR17C2aF1P006",24.704,1.933
"455","2021","Umudike","NR17C2aF21P004",35.455,1.333
"456","2021","Umudike","NR17C2aF27P001",9.996,1.133
"457","2021","Umudike","NR17C2aF29P001",8.788,2.1
"458","2021","Umudike","NR17C2aF39P002",22.378,1
"459","2021","Umudike","NR17C2aF46P012",NA,2.333
"460","2021","Umudike","NR17C2aF49P006",27.24,1.333
"461","2021","Umudike","NR17C2aF54P001",26.395,1.533
"462","2021","Umudike","NR17C2aF54P002",16.489,1.667
"463","2021","Umudike","NR17C2aF54P005",15.462,1.4
"464","2021","Umudike","NR17C2aF54P010",33.25,1.467
"465","2021","Umudike","NR17C2aF54P012",16.791,1.367
"466","2021","Umudike","NR17C2aF5P017",22.65,1.433
"467","2021","Umudike","NR17C2aF5P026",23.707,NA
"468","2021","Umudike","NR17C2aF60P003",36.663,2.4
"469","2021","Umudike","NR17C2aF60P007",13.832,1.9
"470","2021","Umudike","NR17C2aF60P009",22.982,1.367
