"","Year","Location","Genotype","Amylose","Crude.Fiber"
"256","2022","Otobi","NR17C2aF28P002",18.815,3.33
"257","2022","Otobi","NR17C2aF29P001",17.939,4
"258","2022","Otobi","NR17C2aF33P002",14.285,1.99
"259","2022","Otobi","NR17C2aF33P003",17.788,2.67
"260","2022","Otobi","NR17C2aF35P004",15.704,2
"261","2022","Otobi","NR17C2aF37P001",17.093,2
"262","2022","Otobi","NR17C2aF39P002",19.6,1.99
"263","2022","Otobi","NR17C2aF40P004",18.815,2
"264","2022","Otobi","NR17C2aF46P012",11.899,2.33
"265","2022","Otobi","NR17C2aF49P006",19.117,2.67
"266","2022","Otobi","NR17C2aF54P001",17.033,2.33
"267","2022","Otobi","NR17C2aF54P002",18.664,2.67
"268","2022","Otobi","NR17C2aF54P010",17.003,1.33
"269","2022","Otobi","NR17C2aF54P015",14.315,2
"270","2022","Otobi","NR17C2aF5P017",13.59,2.67
"271","2022","Otobi","NR17C2aF5P026",16.399,2.33
"272","2022","Otobi","NR17C2aF60P003",19.781,2
"273","2022","Otobi","NR17C2aF60P006",30.653,1.33
"274","2022","Otobi","NR17C2aF60P007",20.838,1.99
"275","2022","Otobi","NR17C2aF60P009",21.291,1.99
"276","2022","Otobi","NR17C2aF60P010",12.442,2.33
"277","2022","Otobi","NR17C2aF60P012",16.459,2.67
"278","2022","Otobi","NR17C2aF60P015",18.392,1.67
"279","2022","Otobi","NR17C2aF60P019",15.613,3.32
"280","2022","Otobi","NR17C2aF60P020",23.224,1.67
"281","2022","Otobi","NR17C2aF61P002",16.882,3
"282","2022","Otobi","NR17C2aF61P003",17.697,1.33
"283","2022","Otobi","NR17C2aF61P004",20.657,1.99
"284","2022","Otobi","NR17C2aF61P006",16.127,2.99
"285","2022","Otobi","NR17C2aF61P007",18.331,2
"286","2022","Otobi","NR17C2aF61P008",15.009,2
"287","2022","Otobi","NR17C2aF61P009",15.915,2.33
"288","2022","Otobi","NR17C2aF61P010",12.05,1.67
"289","2022","Otobi","NR17C2aF61P011",18.18,2
"290","2022","Otobi","NR17C2aF61P013",17.637,1.67
