"","environment","location","year","Genotype","swelling.index","swelling.power","WAC","Bulk.Density"
"218","Otobi_2021","Otobi","2021","NR17C2aF89P091",1.709,9.03,467.5,0.933
"219","Otobi_2021","Otobi","2021","NR17C2aF89P096",1.872,7.66,353.5,0.833
"220","Otobi_2021","Otobi","2021","NR17C2aF89P102",1.986,7.79,315,0.909
"221","Otobi_2021","Otobi","2021","NR17C2aF90P001",1.939,7.875,434.5,0.88
"222","Otobi_2021","Otobi","2021","NR17C2aF90P007",1.93,8.33,329.5,0.934
"223","Otobi_2021","Otobi","2021","NR17C2aF91P001",2.217,7.855,392.5,0.909
"224","Otobi_2021","Otobi","2021","NR17C2aF91P004",1.689,11.21,347,0.908
"225","Otobi_2021","Otobi","2021","NR17C2aF91P006",2.2,8.88,466.5,0.851
"226","Otobi_2021","Otobi","2021","NR17C2aF91P008",2.445,8.35,413,0.852
"227","Otobi_2021","Otobi","2021","NR17C2aF91P011",1.854,8.56,371,0.909
"228","Otobi_2021","Otobi","2021","NR17C2aF92P001",1.88,7.875,370.5,0.907
"229","Otobi_2021","Otobi","2021","NR17C2aF92P002",1.949,8.975,392.5,0.908
"230","Otobi_2021","Otobi","2021","NR17C2aF92P003",2.781,9.435,484.5,0.858
"231","Otobi_2021","Otobi","2021","NR17C2aF92P005",2.039,7.115,457,0.858
"232","Otobi_2021","Otobi","2021","NR17C2aF93P009",1.985,8.1925,403,0.906
"233","Otobi_2021","Otobi","2021","NR17C2aF93P010",1.862,8.8,502,0.879
"234","Otobi_2021","Otobi","2021","NR17C2aF94P013",2.21,8.11,457.5,0.857
"235","Otobi_2021","Otobi","2021","NR17C2aF95P003",2.044,7.135,372.5,0.996
"236","Otobi_2021","Otobi","2021","NR17C2aF95P011",1.668,9.79,399,0.867
"237","Otobi_2021","Otobi","2021","NR17C2aF95P015",2.119,8.025,405,0.953
"238","Otobi_2021","Otobi","2021","NR17C2aF95P021",2.44,7.835,360.5,0.909
"239","Otobi_2021","Otobi","2021","NR17C2aF96P004",2.119,7.65,443,0.869
"240","Otobi_2021","Otobi","2021","NR17C2aF97P002",2.14,8.59,424.5,0.93
"241","Otobi_2021","Otobi","2021","NR17C2aF99P002",1.957,9.57,339,0.938
"242","Otobi_2021","Otobi","2021","NR17C2aF9P010",1.831,8.35,422.5,0.831
"243","Otobi_2021","Otobi","2021","NR17C2aF9P013",1.739,8.515,425.5,0.886
"244","Otobi_2021","Otobi","2021","IITA-TMS-IBA30572",2.001,8.11,400.5,0.908
"245","Otobi_2021","Otobi","2021","NR8082",2.167,6.665,444,0.936
"246","Otobi_2021","Otobi","2021","TMEB419",1.84,7.99,442.5,0.934
"247","Otobi_2021","Otobi","2021","TMEB7",1.713,10.21,567,0.908
"248","Umudike_2021","Umudike","2021","NR17C2aF103P001",1.804,7.08,418,0.741
"249","Umudike_2021","Umudike","2021","NR17C2aF10P001",2.661,10.644,569,0.847
"250","Umudike_2021","Umudike","2021","NR17C2aF10P002",1.526,8.978,307,0.699
"251","Umudike_2021","Umudike","2021","NR17C2aF10P006",2.42,9.341,474,0.857
"252","Umudike_2021","Umudike","2021","NR17C2aF10P011",2.394,7.857,503,0.81
"253","Umudike_2021","Umudike","2021","NR17C2aF10P016",2.2,10.311,446,0.789
"254","Umudike_2021","Umudike","2021","NR17C2aF10P021",NA,9.667,NA,NA
"255","Umudike_2021","Umudike","2021","NR17C2aF10P025",2.143,8.144,459,0.852
"256","Umudike_2021","Umudike","2021","NR17C2aF114P002",3.75,8.22,582,0.811
"257","Umudike_2021","Umudike","2021","NR17C2aF114P004",1.17,9.68,222,0.667
"258","Umudike_2021","Umudike","2021","NR17C2aF118P001",1.712,9.929,377,0.828
"259","Umudike_2021","Umudike","2021","NR17C2aF121P005",2.011,9.149,438,0.834
"260","Umudike_2021","Umudike","2021","NR17C2aF12P001",NA,8.641,NA,NA
"261","Umudike_2021","Umudike","2021","NR17C2aF13P001",1.571,8.449,310,0.861
"262","Umudike_2021","Umudike","2021","NR17C2aF14P016",2.183,8.258,509,0.906
"263","Umudike_2021","Umudike","2021","NR17C2aF15P003",NA,8.362,NA,NA
"264","Umudike_2021","Umudike","2021","NR17C2aF15P011",2.25,8.118,535,0.848
"265","Umudike_2021","Umudike","2021","NR17C2aF15P016",1.75,7.955,309,0.642
"266","Umudike_2021","Umudike","2021","NR17C2aF15P022",2.074,8.278,376,0.733
"267","Umudike_2021","Umudike","2021","NR17C2aF15P032",1.763,NA,431,0.811
"268","Umudike_2021","Umudike","2021","NR17C2aF15P041",1.638,7.705,457,0.759
"269","Umudike_2021","Umudike","2021","NR17C2aF16P003",2.957,8.033,576,0.8
"270","Umudike_2021","Umudike","2021","NR17C2aF16P010",2.287,8.042,535,0.811
"271","Umudike_2021","Umudike","2021","NR17C2aF16P013",2.241,NA,481,0.862
"272","Umudike_2021","Umudike","2021","NR17C2aF18P008",1.729,7.744,498,0.667
"273","Umudike_2021","Umudike","2021","NR17C2aF18P018",1.746,8.714,397,0.858
"274","Umudike_2021","Umudike","2021","NR17C2aF19P002",2.034,8.583,420,0.766
"275","Umudike_2021","Umudike","2021","NR17C2aF1P003",3,8.074,555,0.808
"276","Umudike_2021","Umudike","2021","NR17C2aF1P006",NA,10.19,NA,NA
"277","Umudike_2021","Umudike","2021","NR17C2aF21P004",2.462,11.267,519,0.77
"278","Umudike_2021","Umudike","2021","NR17C2aF27P001",2.464,10.769,545,0.857
"279","Umudike_2021","Umudike","2021","NR17C2aF28P002",1.92,NA,408,0.949
"280","Umudike_2021","Umudike","2021","NR17C2aF29P001",1.955,9.898,505,0.778
"281","Umudike_2021","Umudike","2021","NR17C2aF39P002",2.123,9.457,487,0.81
"282","Umudike_2021","Umudike","2021","NR17C2aF49P006",1.6,9.011,320,0.776
"283","Umudike_2021","Umudike","2021","NR17C2aF54P001",2.304,10.442,480,0.987
"284","Umudike_2021","Umudike","2021","NR17C2aF54P002",2.121,7.934,516,0.857
"285","Umudike_2021","Umudike","2021","NR17C2aF54P005",1.884,9.765,386,0.811
"286","Umudike_2021","Umudike","2021","NR17C2aF54P010",2.264,8.36,499,0.906
"287","Umudike_2021","Umudike","2021","NR17C2aF54P012",2.546,8.946,542,0.834
"288","Umudike_2021","Umudike","2021","NR17C2aF5P017",2.455,10.453,469,0.952
"289","Umudike_2021","Umudike","2021","NR17C2aF5P026",2.18,10.826,377,0.903
"290","Umudike_2021","Umudike","2021","NR17C2aF60P003",1.926,9.354,526,0.81
