"","X1","X2"
"510","Cameroon_096","250227938"
"511","DRC_043","250228012"
"512","DRC_061","250228030"
"513","DRC_087","250228056"
"514","DRC_025","250227994"
"515","DRC_024","250227993"
"516","Cameroon_033","250227875"
"517","DRC_044","250228013"
"518","DRC_086","250228055"
"519","Cameroon_014","250227856"
"520","Cameroon_041","250227883"
"521","Cameroon_016","250227858"
"522","DRC_059","250228028"
"523","Cameroon_080","250227922"
"524","DRC_008","250227977"
"525","Cameroon_034","250227876"
"526","DRC_071","250228040"
"527","DRC_088","250228057"
"528","DRC_068","250228037"
"529","DRC_006","250227975"
"530","Cameroon_043","250227885"
"531","DRC_062","250228031"
"532","Cameroon_039","250227881"
"533","Cameroon_077","250227919"
"534","DRC_035","250228004"
"535","Cameroon_078","250227920"
"536","DRC_095","250228064"
"537","DRC_094","250228063"
"538","DRC_036","250228005"
"539","Cameroon_076","250227918"
"540","DRC_067","250228036"
"541","DRC_085","250228054"
"542","DRC_023","250227992"
"543","Cameroon_031","250227873"
"544","Cameroon_072","250227914"
"545","Cameroon_013","250227855"
"546","DRC_005","250227974"
"547","DRC_054","250228023"
"548","Cameroon_044","250227886"
"549","Cameroon_035","250227877"
"550","DRC_027","250227996"
"551","Cameroon_079","250227921"
"552","Cameroon_081","250227923"
"553","Cameroon_058","250227900"
"554","DRC_089","250228058"
"555","DRC_042","250228011"
"556","DRC_033","250228002"
"557","Cameroon_085","250227927"
"558","Cameroon_048","250227890"
"559","DRC_060","250228029"
"560","Cameroon_029","250227871"
"561","DRC_009","250227978"
"562","DRC_011","250227980"
"563","Cameroon_017","250227859"
"564","DRC_073","250228042"
"565","I020131","250301245"
"566","Cameroon_023","250227865"
"567","DRC_075","250228044"
"568","DRC_013","250227982"
"569","Cameroon_062","250227904"
"570","Cameroon_050","250227892"
"571","DRC_015","250227984"
"572","Cameroon_021","250227863"
"573","Cameroon_064","250227906"
"574","DRC_048","250228017"
"575","DRC_077","250228046"
"576","Cameroon_052","250227894"
"577","DRC_046","250228015"
"578","Cameroon_027","250227869"
"579","Cameroon_087","250227929"
"580","Cameroon_066","250227908"
"581","Cameroon_060","250227902"
"582","Cameroon_056","250227898"
"583","DRC_019","250227988"
"584","DRC_050","250228019"
"585","Cameroon_093","250227935"
"586","DRC_017","250227986"
"587","DRC_079","250228048"
"588","Cameroon_089","250227931"
"589","Cameroon_091","250227933"
"590","DRC_081","250228050"
"591","DRC_052","250228021"
"592","Cameroon_025","250227867"
"593","Cameroon_054","250227896"
"594","I011442","250300328"
"595","TMEB1624","250253880"
"596","I000222","250300409"
"597","I000210","250300284"
"598","I961551","250300531"
"599","I960860","250300533"
"600","TMEB557","250253922"
"601","W940727","250300612"
"602","I070974","250300149"
"603","I070808","250300176"
"604","I020105","250300277"
"605","TMEB443","250253879"
"606","I974580","250300467"
"607","I010046","250300307"
"608","TMEB539","250253919"
"609","TMEB391","250253851"
"610","W940102","250300611"
"611","I051814","250300207"
"612","I061404","250300188"
"613","I070756","250300160"
"614","I020514","250300273"
"615","TMEB514","250253909"
"616","I950528","250300570"
"617","I030305","250300224"
"618","TMEB468","250253888"
"619","I010819","250300305"
"620","I020409","250300274"
"621","I940270","250300606"
"622","TMEB470","250253890"
"623","I961630","250300545"
"624","MM972220","250300481"
"625","MM972480","250300475"
"626","I070999","250300169"
"627","I950286","250300594"
"628","I990554","250300417"
"629","MM985136","250300448"
"630","TMEB496","250253900"
"631","I990111","250300412"
"632","MM967204_DRC_","250300565"
"633","TMEB459","250253886"
"634","I051553","250300205"
"635","I062052","250300185"
"636","I011807","250300337"
"637","I030141","250300223"
"638","I970335","250300464"
"639","I974779","250300473"
"640","I980581","250300439"
"641","Z990207","250300435"
"642","I071378","250300142"
"643","I061856","250300184"
"644","TMEB416","250253862"
"645","MM011161","250300355"
"646","TMEB486","250253897"
"647","I063046","250300177"
"648","I010045","250300341"
"649","I951038","250300590"
"650","I960102","250300535"
"651","I940459","250300604"
"652","I011086","250300303"
"653","I000350","250300359"
"654","I030055A","250300218"
"655","I000107","250300411"
"656","I950947","250300586"
"657","MM964500","250300562"
"658","TMEB574","250253926"
"659","I950058","250300572"
"660","Z950680","250300580"
"661","I974013","250300470"
"662","I980196","250300441"
"663","I971149","250300466"
"664","Z010116","250300347"
"665","I020133","250300275"
"666","M980068","250300452"
"667","MM010540","250300356"
"668","I010732","250300344"
"669","I950061","250300581"
"670","TMEB583","250253928"
"671","I051632","250300196"
"672","I050998","250300197"
"673","I030028","250300229"
"674","I000093","250300402"
"675","I960963","250300550"
"676","MM011196","250300357"
"677","I960016","250300539"
"678","I960869","250300548"
"679","MBOMA","250253863"
"680","I950442","250300588"
"681","I011206","250300325"
"682","I972205","250301855"
"683","MM963635","250300563"
"684","I051631","250300199"
"685","TMEB477","250253892"
"686","I030061","250300215"
"687","TMEB449","250253883"
"688","TMEB478","250253893"
"689","I990222","250300413"
"690","95NA_00063","250300579"
"691","I000211","250300361"
"692","ANG18","250253913"
"693","TMEB388","250253850"
"694","TMEB480","250253894"
"695","I070374","250300157"
"696","TMEB424","250253869"
"697","I010098","250300331"
"698","I950379","250300567"
"699","I030006A","250300221"
"700","I070824","250300170"
"701","MM960093","250300560"
"702","TMEB418","250253864"
"703","MM980299","250300451"
"704","I940020","250300607"
"705","TMEB503","250253904"
"706","I030177","250300271"
"707","I050311","250300193"
"708","I011412","250302251"
"709","I011417","250300334"
"710","I970425","250300465"
"711","TMEB577","250253927"
"712","I020091","250300286"
"713","TMEB454","250253884"
"714","I050100","250300208"
"715","I940263","250300608"
"716","I990621","250300422"
"717","I030030","250300266"
"718","BA95070","250300598"
"719","TMEB507","250253906"
"720","MM961871","250300561"
"721","I030264","250300234"
"722","I011735","250300319"
"723","I070751","250300152"
"724","I051658","250300195"
"725","I011404","250300300"
"726","I020134","250300296"
"727","MM96JW1","250300559"
"728","I070749","250300162"
"729","TMEB427","250253870"
"730","Z950154","250300575"
"731","M980028","250300455"
"732","I950269","250300574"
"733","I970299","250300471"
"734","TMEB402","250253857"
"735","TMEB534","250253916"
"736","I070045","250300153"
"737","I990304","250300414"
"738","MV990395","250300434"
"739","MM965280","250300556"
"740","TMEB1625","250253849"
"741","Z010055","250300350"
"742","I961165","250300541"
"743","I070337","250300150"
"744","I000203","250300407"
"745","MM970043","250300482"
"746","TMEB381","250253847"
"747","TMEB546","250253923"
"748","Z980144","250300457"
"749","I940018","250300600"
"750","I020103","250300281"
"751","TMEB445","250253881"
"752","I996012","250300416"
"753","MM970134","250300480"
"754","MM983437","250300445"
"755","I011423","250300338"
"756","I030273","250300220"
"757","MM970016","250300474"
"758","TMEB586","250253930"
"759","MM971660","250300487"
"760","I950902","250300589"
"761","TMEB590","250253931"
"762","I010536","250300310"
"763","Z940394","250300615"
"764","TMEB435","250253875"
"765","I940066","250300603"
"766","I051626","250300213"
"767","TMEB408","250253859"
"768","TMEB433","250253874"
"769","I974763","250300463"
"770","TMEB499","250253902"
"771","I011752","250300342"
"772","TMEB396","250253853"
"773","I020540","250300283"
"774","MM960287","250300555"
"775","TMEB592","250253933"
"776","MM013004","250300354"
"777","I051740","250300206"
"778","I030060A","250300227"
"779","TMEB515","250253910"
"780","I030256","250300226"
"781","TMEB497","250253901"
"782","TMEB439","250253877"
"783","TMEB398","250253855"
"784","TMEB604","250253939"
"785","MM972346","250300479"
"786","MM970287","250300488"
"787","I960409","250300525"
"788","95D069","250300576"
"789","I990240","250300431"
"790","I950279","250300585"
"791","Z980190","250300460"
"792","I011659","250300327"
"793","I960804","250300529"
"794","TMEB542","250253921"
"795","I070952","250300144"
"796","TMEB600","250253938"
"797","TMEB491","250253898"
"798","I950041","250300587"
"799","TMEB410","250253860"
"800","I000354","250300408"
"801","I061744","250300178"
"802","MM981020","250300444"
"803","TMEB412","250253861"
"804","MM980034","250300447"
"805","MM97JW2","250300477"
"806","I991903","250300430"
"807","I000017","250300396"
"808","I000342","250300393"
"809","I940039","250300601"
"810","Z010125","250300348"
"811","I011224","250300335"
"812","I070126","250300147"
"813","TMEB594","250253935"
"814","TMEB540","250253920"
"815","MV990395_DRC_","250300433"
"816","TMEB538","250253918"
"817","M980115","250300456"
"818","I030254","250300272"
"819","I020509","250300279"
"820","I950248","250300571"
"821","I010085","250300333"
"822","TMEB437","250253876"
"823","I030279","250300228"
"824","I030275","250300230"
"825","I020432","250300293"
"826","I030075","250300232"
"827","MM990302","250300437"
"828","TMEB614","250253941"
"829","I020093","250300285"
"830","I030284","250300269"
"831","I071313","250300154"
"832","I992123","250300419"
"833","MM980163","250300450"
"834","I050127","250300202"
"835","M980004","250300454"
"836","I960603","250300536"
"837","MM960259","250300557"
"838","I991579","250300427"
"839","I010103","250300343"
"840","I010728","250300315"
"841","I961642","250300540"
"842","MM971141","250300478"
"843","I020588","250300290"
"844","I011115","250300311"
"845","I050099","250300198"
"846","I070874","250300175"
"847","I011732","250300299"
"848","I070004","250300146"
"849","I010903","250300322"
"850","I996069","250300420"
"851","Z010087","250300349"
"852","MM970806","250300484"
"853","Z980098","250300458"
"854","MM971750","250300485"
"855","I000346","250300397"
"856","I011646","250300329"
"857","I010606","250300312"
"858","I997578","250300432"
"859","I020527","250300287"
"860","TMEB421","250253866"
"861","I020388","250300280"
"862","I070962","250300172"
"863","TMEB597","250253936"
"864","TMEB474","250253891"
"865","I051601","250300201"
"866","I070752","250300143"
"867","I011273","250300330"
"868","I011412","250300323"
"869","I011811","250300309"
"870","I000061","250300410"
"871","I010615","250300326"
"872","TMEB518","250253912"
"873","TMEB430","250253872"
"874","I974766","250300468"
"875","I970296","250300469"
"876","I990114","250300421"
"877","I940239","250300602"
"878","TMEB431","250253873"
"879","MM980057","250300449"
"880","I011760","250300324"
"881","K950286","250300566"
"882","I950306","250300578"
"883","W940009","250300610"
