"","x"
"610","NR17C2aF60P009"
"611","NR17C2aF60P010"
"612","NR17C2aF60P012"
"613","NR17C2aF60P015"
"614","NR17C2aF60P019"
"615","NR17C2aF60P020"
"616","NR17C2aF61P002"
"617","NR17C2aF61P004"
"618","NR17C2aF61P006"
"619","NR17C2aF61P007"
"620","NR17C2aF61P009"
"621","NR17C2aF61P010"
"622","NR17C2aF61P011"
"623","NR17C2aF61P013"
"624","NR17C2aF61P015"
"625","NR17C2aF62P015"
"626","NR17C2aF62P020"
"627","NR17C2aF62P024"
"628","NR17C2aF65P009"
"629","NR17C2aF65P017"
"630","NR17C2aF65P020"
"631","NR17C2aF65P024"
"632","NR17C2aF65P027"
"633","NR17C2aF66P014"
"634","NR17C2aF69P009"
"635","NR17C2aF6P005"
"636","NR17C2aF6P007"
"637","NR17C2aF6P030"
"638","NR17C2aF6P044"
"639","NR17C2aF6P045"
"640","NR17C2aF6P046"
"641","NR17C2aF70P001"
"642","NR17C2aF70P007"
"643","NR17C2aF70P008"
"644","NR17C2aF79P001"
"645","NR17C2aF79P005"
"646","NR17C2aF79P007"
"647","NR17C2aF79P016"
"648","NR17C2aF7P007"
"649","NR17C2aF7P008"
"650","NR17C2aF7P023"
"651","NR17C2aF7P030"
"652","NR17C2aF7P044"
"653","NR17C2aF7P045"
"654","NR17C2aF7P052"
"655","NR17C2aF7P058"
"656","NR17C2aF7P062"
"657","NR17C2aF7P065"
"658","NR17C2aF7P067"
"659","NR17C2aF7P070"
"660","NR17C2aF7P071"
"661","NR17C2aF81P002"
"662","NR17C2aF81P003"
"663","NR17C2aF82P002"
"664","NR17C2aF82P008"
"665","NR17C2aF83P018"
"666","NR17C2aF84P004"
"667","NR17C2aF87P010"
"668","NR17C2aF87P011"
"669","NR17C2aF89P008"
"670","NR17C2aF89P009"
"671","NR17C2aF89P010"
"672","NR17C2aF89P013"
"673","NR17C2aF89P014"
"674","NR17C2aF89P018"
"675","NR17C2aF89P020"
"676","NR17C2aF89P021"
"677","NR17C2aF89P028"
"678","NR17C2aF89P045"
"679","NR17C2aF89P050"
"680","NR17C2aF89P058"
"681","NR17C2aF89P067"
"682","NR17C2aF89P069"
"683","NR17C2aF89P084"
"684","NR17C2aF89P088"
"685","NR17C2aF89P091"
"686","NR17C2aF89P096"
"687","NR17C2aF89P102"
"688","NR17C2aF90P001"
"689","NR17C2aF90P007"
"690","NR17C2aF90P008"
"691","NR17C2aF91P001"
"692","NR17C2aF91P004"
"693","NR17C2aF91P006"
"694","NR17C2aF91P008"
"695","NR17C2aF91P011"
"696","NR17C2aF92P001"
"697","NR17C2aF92P002"
"698","NR17C2aF92P003"
"699","NR17C2aF92P005"
"700","NR17C2aF93P010"
"701","NR17C2aF94P013"
"702","NR17C2aF95P003"
"703","NR17C2aF95P009"
"704","NR17C2aF95P015"
"705","NR17C2aF95P021"
"706","NR17C2aF97P002"
"707","NR17C2aF98P001"
"708","NR17C2aF99P002"
"709","NR17C2aF9P010"
"710","NR17C2aF9P013"
"711","NR8082"
"712","TMEB419"
"713","TMEB7"
