"","swelling.index","swelling.power","WAC","Bulk.Density"
"596",2.739,10.043,439,0.858
"597",3,8.945,650,0.78
"598",2.792,7.106,531,0.811
"599",2.609,9.152,499,0.834
"600",3.5,8.072,545,0.857
"601",3.125,8.787,605,0.757
"602",3.19,7.258,558,0.779
"603",3.04,10.149,592,0.769
"604",3.636,9.531,633,0.78
"605",2.8,9.924,526,0.77
"606",2.708,9.626,475,0.8
"607",2.692,10.022,616,0.78
"608",2.8,7.153,524,0.822
"609",3.381,6.711,540,0.857
"610",3.043,8.598,473,0.822
"611",2.857,8.642,524,0.779
"612",2.615,8.755,598,0.75
"613",3.35,8.607,652.5,0.801
"614",2.654,6.802,218,0.811
"615",3.364,8.5,536,0.667
"616",3.12,8.702,694,0.75
"617",2.8,7.532,503,0.765
"618",3.333,8.316,608,0.833
"619",2.88,6.796,604,0.79
"620",2.88,9.667,549,0.769
"621",3.55,7.295,596,0.857
"622",2.8,6.168,504,0.883
"623",3.043,7.531,554,0.82
"624",2.167,9.494,579,0.896
"625",2.84,8.688,533,0.779
"626",3.81,8.032,560,0.791
"627",2.937,8.286,560.5,0.781
"628",2.958,9.07,564,0.779
"629",2.8,7.609,539,0.77
"630",2,6.268,477,0.952
"631",2.792,9.448,456,0.714
"632",3.261,6.413,520,0.857
"633",2.037,7.247,496,0.845
"634",2.792,7.084,551,0.761
"635",2.64,7.947,563,0.653
"636",3.381,7.293,560,0.769
"637",2.962,7.457,580,0.75
"638",2.86,8.614,597,0.763
"639",2.6,7.564,565,0.76
"640",3.034,8.03,621,0.706
"641",2.455,8.438,591.5,0.739
"642",3.5,6.84,482,0.834
"643",3.432,7.148,509,0.75
"644",3.5,7.204,552,0.8
"645",3,8.75,548,0.801
"646",2.48,9.648,535.5,0.751
"647",2.913,8.722,596,0.811
"648",3,6.865,477,0.822
"649",3.5,7.253,583,0.732
"650",2.857,7.699,511,0.789
"651",3.05,6.469,488,0.822
"652",3.2,8.461,619,0.683
"653",2.955,8.758,536,0.761
"654",2.8,9.809,534,0.801
"655",3.077,8.582,583,0.714
"656",2.692,6.818,552,0.8
"657",2.9,7.699,559,0.8
"658",3.222,7.831,579.5,0.691
"659",2.697,8.46,530.5,0.786
"660",2.381,8.44,365,0.858
"661",2.92,7.214,638,0.638
"662",2.8,8.011,608,0.801
"663",3.12,9.213,637,0.834
"664",3.478,7.642,645,0.682
"665",2.28,9.587,516,0.801
"666",3.333,9.323,596,0.822
"667",3.095,6.458,514,0.857
"668",3.003,7.891,613,0.702
"669",1.964,10.211,425,0.834
"670",2.6,8.116,516,0.77
"671",2.8,7.551,560,0.779
"672",2.615,8.505,469,0.759
"673",2.97,9.275,499,0.78
"674",3.095,10.182,509,0.823
"675",3.28,9.148,624,0.653
"676",2.739,6.357,493,0.811
"677",2.8,9.054,524,0.79
"678",2.321,9.187,504,0.723
"679",3.55,7.736,550,0.834
"680",3.04,7.221,458,0.811
"681",2.593,7.554,604,0.594
"682",3.5,9.232,563,0.822
"683",2.652,7.909,482,0.834
"684",2.885,9.121,526,0.789
"685",2.8,9.705,522,0.732
"686",2.52,6.162,513,0.822
"687",2.875,7.315,604,0.75
"688",2.429,8.188,465,0.652
"689",2.367,9.567,583,0.812
"690",2.321,8.464,538,0.698
"691",2.727,6.103,508,0.769
"692",2.633,9.207,551,0.75
"693",3.619,7.438,582,0.79
"694",2.652,5.926,528,0.8
"695",2.565,7.75,612,0.769
"696",2.84,6.213,573,0.732
"697",2.407,7.959,584,0.811
"698",2.642,9.711,499,0.852
"699",3.174,8.839,599,0.822
"700",3.286,6.857,452,0.732
"701",2.8,6.663,550,0.723
"702",2.26,5.97,499.5,0.779
"703",2.8,6.969,606,0.834
"704",2.367,8.851,386,0.769
"705",2.423,9.554,563,0.79
"706",2.76,6.851,530,0.811
"707",2.54,8.739,557,0.718
"708",2.6,6.62,497,0.811
"709",2.6,8.989,494,0.86
"710",2.955,7.656,503,0.834
"711",2.84,7.6,580,0.857
"712",2.833,9.778,612,0.87
"713",2.81,6.103,442,0.822
